id	name	namespace	NS_mean	WS_mean	countNS	countWS	countNS_n_peptide	countWS_n_peptide	countNS_n_samp_children	countWS_n_samp_children
GO:0003674	molecular_function	molecular_function	5.169925001442311	9.771489469500601	5.169925001442311	9.771489469500601	13.0	22.0	2.0	2.0
GO:0004854	xanthine dehydrogenase activity	molecular_function	2.5849625007211556	4.954196310386875	2.5849625007211556	4.954196310386875	1.0	1.0	0.0	0.0
GO:0005488	binding	molecular_function	3.700439718141092	9.162391328756906	3.700439718141092	9.162391328756906	6.0	13.0	5.0	5.0
GO:0005506	iron ion binding	molecular_function	0.0	5.523561956057013	0.0	5.523561956057013	1.0	1.0	0.0	0.0
GO:0009055	electron transfer activity	molecular_function	0.0	4.392317422778762	0.0	4.392317422778762	1.0	1.0	0.0	0.0
GO:0016491	oxidoreductase activity	molecular_function	4.392317422778762	7.60733031374961	4.392317422778762	7.60733031374961	6.0	8.0	3.0	4.0
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	molecular_function	0.0	4.087462841250339	0.0	4.087462841250339	0.0	1.0	0.0	0.0
GO:0018492	carbon-monoxide dehydrogenase (acceptor) activity	molecular_function	2.5849625007211556	4.954196310386875	2.5849625007211556	4.954196310386875	1.0	1.0	0.0	0.0
GO:0020037	heme binding	molecular_function	0.0	4.0	0.0	4.0	1.0	1.0	0.0	0.0
GO:0048037	cofactor binding	molecular_function	2.807354922057604	6.0	2.807354922057604	6.0	2.0	3.0	2.0	2.0
GO:0051537	2 iron, 2 sulfur cluster binding	molecular_function	2.5849625007211556	4.954196310386875	2.5849625007211556	4.954196310386875	1.0	1.0	0.0	0.0
