names	EggNOG	MEGAN	MetaGOmics	MPA	Prophane	Unipept
molecular_function; catalytic activity; CoA-transferase activity; acetate CoA-transferase activity; transferase activity; transferase activity, transferring sulfur-containing groups	 1 97 241 1070 3362 3399 5935					
molecular_function; catalytic activity; CoA-transferase activity; acetate CoA-transferase activity; transferase activity; transferase activity, transferring sulfur-containing groups	 43/0 (5.46) 9/0 (3.32) 6/0 (2.81) 8/1.87 (1.65) 39/19.67 (0.95) 154/86.16 (0.83) 0/0.94 (-0.95)					
molecular_function; structural constituent of ribosome; structural molecule activity	 2 8 9 11 13 19 42 47 60 70 72 80 82 85 88 89 94 99 131 132 140 141 150 156 157 163 165 189 190 195 198 199 200 201 204 209 211 218 226 230 242 243 274 288 293 297 309 320 322 323 337 340 343 354 355 367 368 389 390 394 396 397 408 409 421 428 431 437 438 444 445 465 470 474 477 500 512 517 520 532 537 540 541 555 559 560 574 578 580 584 594 596 597 623 624 632 633 634 639 649 651 652 655 659 662 665 666 673 676 680 701 702 703 704 706 728 731 746 750 753 765 768 791 796 797 804 835 879 881 882 884 909 910 911 913 920 921 923 945 951 967 975 976 978 980 981 983 984 986 991 992 998 1002 1005 1007 1010 1011 1016 1017 1018 1026 1029 1030 1031 1033 1034 1035 1039 1041 1043 1044 1045 1046 1047 1048 1049 1050 1052 1053 1054 1055 1056 1057 1058 1068 1077 1079 1081 1097 1100 1102 1103 1106 1107 1110 1117 1174 1189 1191 1210 1214 1215 1228 1236 1237 1239 1251 1262 1267 1270 1293 1294 1295 1323 1390 1393 1395 1398 1405 1407 1455 1459 1460 1462 1464 1469 1471 1473 1474 1479 1519 1521 1526 1527 1528 1535 1584 1586 1603 1604 1620 1634 1640 1641 1675 1699 1706 1708 1712 1714 1717 1718 1722 1723 1730 1737 1742 1743 1753 1754 1761 1766 1785 1787 1794 1796 1799 1801 1802 1804 1805 1811 1817 1828 1831 1832 1836 1845 1846 1849 1854 1856 1867 1868 1871 1872 1874 1884 1888 1889 1892 1893 1895 1903 1906 1907 1913 1915 1916 1920 1921 1926 1934 1942 1957 1961 1965 1976 1977 1978 1980 1988 1993 1997 1998 2000 2037 2093 2094 2095 2132 2134 2138 2161 2178 2180 2193 2198 2199 2213 2241 2245 2247 2248 2261 2265 2281 2285 2286 2290 2301 2338 2354 2385 2405 2408 2453 2457 2573 2602 2605 2606 2621 2623 2676 2704 2753 2754 2756 2758 2785 2786 2787 2788 2799 2800 2811 2821 2822 2824 2825 2833 2840 2851 2900 2901 2914 2943 2957 2980 2981 2992 3043 3045 3070 3071 3072 3093 3103 3141 3170 3187 3231 3238 3261 3269 3270 3284 3290 3328 3339 3346 3352 3354 3355 3358 3359 3361 3369 3370 3374 3375 3376 3378 3379 3381 3382 3383 3384 3386 3392 3397 3398 3400 3401 3409 3413 3419 3420 3422 3426 3427 3429 3433 3436 3441 3442 3446 3447 3450 3451 3453 3454 3471 3475 3478 3481 3498 3510 3511 3513 3517 3536 3539 3541 3543 3548 3549 3557 3558 3560 3563 3566 3574 3581 3591 3596 3598 3600 3605 3609 3610 3617 3618 3622 3627 3629 3636 3637 3639 3641 3649 3650 3653 3655 3657 3658 3660 3661 3662 3663 3664 3665 3666 3670 3674 3676 3678 3682 3684 3687 3690 3692 3693 3695 3696 3702 3705 3715 3721 3728 3729 3737 3741 3742 3745 3748 3758 3761 3762 3763 3764 3765 3766 3769 3771 3778 3782 3787 3790 3791 3792 3795 3811 3818 3825 3844 3861 3872 3873 3881 3882 3885 3886 3888 3893 3894 3895 3896 3899 3908 3916 3919 3921 3929 3934 3935 3942 3974 4029 4038 4040 4041 4042 4056 4058 4059 4060 4061 4063 4066 4068 4073 4080 4085 4086 4091 4097 4098 4107 4120 4126 4127 4130 4131 4133 4139 4143 4149 4156 4170 4172 4177 4187 4188 4191 4193 4194 4200 4203 4206 4207 4217 4220 4225 4236 4237 4240 4241 4242 4244 4248 4253 4254 4255 4256 4258 4264 4265 4267 4271 4273 4274 4275 4276 4287 4289 4294 4295 4296 4303 4304 4305 4311 4323 4328 4330 4338 4341 4342 4344 4346 4351 4352 4354 4355 4357 4359 4363 4369 4370 4389 4399 4414 4441 4446 4480 4516 4528 4529 4544 4562 4564 4565 4571 4594 4627 4644 4651 4656 4662 4667 4669 4676 4679 4688 4691 4693 4696 4698 4708 4711 4735 4738 4739 4760 4766 4773 4784 4785 4801 4850 4855 4862 4863 4864 4866 4868 4869 4878 4880 4897 4900 4907 4909 4917 4919 4920 4921 4922 4925 4929 4936 4938 4981 4985 4989 5018 5038 5055 5056 5057 5058 5064 5065 5068 5069 5088 5093 5097 5100 5103 5118 5130 5134 5136 5137 5138 5141 5152 5157 5164 5185 5186 5187 5189 5199 5230 5249 5253 5254 5255 5257 5258 5260 5261 5266 5271 5276 5282 5285 5286 5288 5289 5290 5294 5295 5296 5297 5298 5303 5304 5305 5306 5307 5308 5309 5310 5311 5313 5325 5326 5329 5332 5335 5339 5343 5352 5356 5358 5361 5370 5371 5376 5377 5393 5394 5395 5400 5402 5403 5406 5411 5418 5421 5466 5477 5478 5479 5486 5487 5489 5509 5511 5516 5528 5529 5532 5537 5541 5544 5554 5591 5606 5628 5629 5638 5645 5667 5669 5671 5683 5685 5698 5699 5716 5717 5777 5778 5782 5791 5794 5797 5807 5808 5809 5810 5811 5835 5854 5859 5865 5877 5881 5883 5885 5886 5887 5895 5908 5909 5914 5919 5924 5926 5927 5928 5929 5932 5934 5946 5953 5955 5961 5962 5966 5969 5971 5974 5975 5995 5997 5999 6001 6010 6015 6024 6041 6047 6049 6055 6056 6057 6077 6101 6102 6117 6121 6122 6126 6129 6154 6158 6171 6172 6173 6176 6183 6184 6191 6197 6198 6202 6207 6209 6214 6217 6218 6242 6250 6255 6256 6259 6263 6265 6266 6275 6278 6296 6297 6306 6308 6327 6328 6338 6351 6352 6356 6358 6359 6360 6363 6372 6377 6390 6397 6398 6403 6412 6420 6430 6459 6460 6462 6466 6471 6472 6473 6479 6482 6483 6485 6486 6487 6488 6489 6491 6499 6500 6504 6507 6527 6536 6544 6545 6555 6556 6560 6567 6570 6576 6577 6578 6584 6589 6596 6608 6624 6627 6628 6629 6635 6672 6675 6676 6677 6678 6679 6680 6683 6685 6686 6716 6718 6721 6725 6726 6729 6730 6732 6733 6734 6740 6742 6744 6754 6755 6757 6762 6764 6767 6768 6778 6785 6786 6798 6803 6809 6810 6823 6836 6850 6858 6873 6875 6877 6882 6893 6895 6929 6930 6934 6944 6946 6950 6952 6953 6954 6955 6966 6973 6977 6982 6987 6990 6991 6992 6996 6998 6999 7001 7003 7009 7013 7015 7027 7035 7045 7047 7048 7049 7052 7061 7067 7075 7076 7085 7087 7092 7094 7101 7110 7121 7123 7137 7138 7139 7144 7164 7177 7183 7196 7197 7203 7211 7216 7217 7221 7226 7227 7256 7257 7261 7272 7273 7285 7291 7301 7310 7311 7312 7314 7321 7325 7332 7338 7339 7344 7345 7355 7357 7364 7367 7369 7370 7371 7375 7376 7381 7385 7387 7389 7392 7394 7398 7399 7409 7421 7438 7443 7478 7481 7484 7489 7494 7504 7546 7550 7553 7556 7558 7559 7568 7581 7605 7609 7621 7632 7634 7638 7642 7643 7653 7658 7670 7671 7678 7679 7689 7700 7716 7719 7726 7735 7753 7754 7763 7767 7781 7785 7791 7801 7809 7811 7813 7818 7824 7831 7837 7845 7847 7859 7860 7863 7865 7866 7868 7869 7870 7873 7876 7877 7878 7880 7881 7884 7885 7887 7891 7892 7893 7897 7899 7904 7910 7919 7920 7921 7923 7941 7944 7945					
